Incident_ID,Date,Quarter,State,School_Level
20160725MOAVA,2016-07-25,Summer,Missouri,High
20160630CAWOH,2016-06-30,Summer,California,Junior High
20160616ILMCC,2016-06-16,Summer,Illinois,Elementary
20160608MAJED,2016-06-08,Summer,Massachusetts,High
20160515KSAUA,2016-05-15,Spring,Kansas,High
20160513SCSOG,2016-05-13,Spring,South Carolina,High
20160506IDROT,2016-05-06,Spring,Idaho,Middle
20160506FLOSP,2016-05-06,Spring,Florida,Elementary
20160505MDHIB,2016-05-05,Spring,Maryland,High
20160504COEAP,2016-05-04,Spring,Colorado,High
20160502TXKID,2016-05-02,Spring,Texas,High
20160423WIANA,2016-04-23,Spring,Wisconsin,High
20160315ALHUB,2016-03-15,Spring,Alabama,High
20160229OHMAM,2016-02-29,Winter,Ohio,High
20160226TXPAP,2016-02-26,Winter,Texas,High
20160217PACHC,2016-02-17,Winter,Pennsylvania,High
20160217FLROH,2016-02-17,Winter,Florida,Elementary
20160212AZING,2016-02-12,Winter,Arizona,High
20160209MIMUM,2016-02-09,Winter,Michigan,High
20160129PABEP,2016-01-29,Winter,Pennsylvania,High
20160122INLAI,2016-01-22,Winter,Indiana,High
20160120INNOI,2016-01-20,Winter,Indiana,High
20160113ARHAB,2016-01-13,Winter,Arkansas,High
20160112DECED,2016-01-12,Winter,Delaware,Middle
20151204KSWEW,2015-12-04,Winter,Kansas,High
20151120FLNAM,2015-11-20,Fall,Florida,High
20151111ARSUS,2015-11-11,Fall,Arkansas,Unknown
20151105GAVEM,2015-11-05,Fall,Georgia,Other
20151024TXEDS,2015-10-24,Fall,Texas,Middle
20151015TXKAS,2015-10-15,Fall,Texas,High
20150930SDHAH,2015-09-30,Fall,South Dakota,High
20150922NCCES,2015-09-22,Fall,North Carolina,Elementary
20150911LANOL,2015-09-11,Fall,Louisiana,High
20150903ORNEN,2015-09-03,Fall,Oregon,High
20150825GAWSA,2015-08-25,Summer,Georgia,Elementary
20150823TXWIR,2015-08-23,Summer,Texas,Elementary
20150808TXPAP,2015-08-08,Summer,Texas,High
20150724TXELC,2015-07-24,Summer,Texas,Elementary
20150705TXCOD,2015-07-05,Summer,Texas,High
20150629TXJOS,2015-06-29,Summer,Texas,High
20150627CTSAH,2015-06-27,Summer,Connecticut,Elementary
20150623NEFOF,2015-06-23,Summer,Nebraska,Elementary
20150604NCSOF,2015-06-04,Summer,North Carolina,Elementary
20150527FLEVE,2015-05-27,Spring,Florida,K-12
20150524MISOF,2015-05-24,Spring,Michigan,Elementary
20150520TXROR,2015-05-20,Spring,Texas,High
